category_ids,icon,name,photo,shortname,sort_name,topic
"[14, 33]","{'highres_link': 'https://secure.meetupstatic.com/photos/event/1/3/4/2/highres_431404930.jpeg', 'photo_id': 431404930, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/1/3/4/2/600_431404930.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/1/3/4/2/thumb_431404930.jpeg'}",Health & Wellness,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/c/7/e/4/highres_312651172.jpeg', 'photo_id': 312651172, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/c/7/e/4/600_312651172.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/c/7/e/4/thumb_312651172.jpeg'}",health-wellness,Health & Wellness,"{'urlkey': 'wellness', 'name': 'Wellness', 'id': 10306}"
[15],"{'highres_link': 'https://secure.meetupstatic.com/photos/event/1/3/2/f/highres_431404911.jpeg', 'photo_id': 431404911, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/1/3/2/f/600_431404911.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/1/3/2/f/thumb_431404911.jpeg'}",Hobbies & Crafts,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/c/7/3/a/highres_312651002.jpeg', 'photo_id': 312651002, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/c/7/3/a/600_312651002.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/c/7/3/a/thumb_312651002.jpeg'}",hobbies-crafts,Hobbies & Crafts,"{'urlkey': 'craftswap', 'name': 'Crafts', 'id': 10099}"
[16],"{'highres_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/7/highres_431404919.jpeg', 'photo_id': 431404919, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/7/600_431404919.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/7/thumb_431404919.jpeg'}",Language & Culture,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/c/7/7/6/highres_312651062.jpeg', 'photo_id': 312651062, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/c/7/7/6/600_312651062.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/c/7/7/6/thumb_312651062.jpeg'}",language,Language & Culture,"{'urlkey': 'language', 'name': 'Language & Culture', 'id': 10454}"
[12],"{'highres_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/6/highres_431404918.jpeg', 'photo_id': 431404918, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/6/600_431404918.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/6/thumb_431404918.jpeg'}",LGBTQ,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/9/c/0/0/highres_447879936.jpeg', 'photo_id': 447879936, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/9/c/0/0/600_447879936.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/9/c/0/0/thumb_447879936.jpeg'}",lgbtq,LGBTQ,"{'urlkey': 'lgbtfriends', 'name': 'LGBT', 'id': 10050}"
"[4, 13]","{'highres_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/9/highres_431404921.jpeg', 'photo_id': 431404921, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/9/600_431404921.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/9/thumb_431404921.jpeg'}",Movements,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/c/7/8/a/highres_312651082.jpeg', 'photo_id': 312651082, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/c/7/8/a/600_312651082.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/c/7/8/a/thumb_312651082.jpeg'}",movements,Movements,"{'urlkey': 'community', 'name': 'Community', 'id': 15227}"
[21],"{'highres_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/a/highres_431404922.jpeg', 'photo_id': 431404922, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/a/600_431404922.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/a/thumb_431404922.jpeg'}",Music,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/c/7/9/4/highres_312651092.jpeg', 'photo_id': 312651092, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/c/7/9/4/600_312651092.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/c/7/9/4/thumb_312651092.jpeg'}",music,Music,"{'urlkey': 'music', 'name': 'Music', 'id': 15018}"
"[3, 23]","{'highres_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/b/highres_431404923.jpeg', 'photo_id': 431404923, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/b/600_431404923.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/b/thumb_431404923.jpeg'}",Outdoors & Adventure,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/c/7/a/8/highres_312651112.jpeg', 'photo_id': 312651112, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/c/7/a/8/600_312651112.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/c/7/a/8/thumb_312651112.jpeg'}",outdoors-adventure,Outdoors & Adventure,"{'urlkey': 'outdoors', 'name': 'Outdoors', 'id': 15046}"
[25],"{'highres_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/c/highres_431404924.jpeg', 'photo_id': 431404924, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/c/600_431404924.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/c/thumb_431404924.jpeg'}",Family,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/c/7/8/0/highres_312651072.jpeg', 'photo_id': 312651072, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/c/7/8/0/600_312651072.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/c/7/8/0/thumb_312651072.jpeg'}",parents-family,Family,"{'urlkey': 'parents', 'name': 'Parents', 'id': 10333}"
[26],"{'highres_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/d/highres_431404925.jpeg', 'photo_id': 431404925, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/d/600_431404925.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/d/thumb_431404925.jpeg'}",Pets,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/c/7/b/2/highres_312651122.jpeg', 'photo_id': 312651122, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/c/7/b/2/600_312651122.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/c/7/b/2/thumb_312651122.jpeg'}",pets,Pets,"{'urlkey': 'pets-animals', 'name': 'Pets', 'id': 53052}"
[27],"{'highres_link': 'https://secure.meetupstatic.com/photos/event/2/1/9/7/highres_448388599.jpeg', 'photo_id': 448388599, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/2/1/9/7/600_448388599.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/2/1/9/7/thumb_448388599.jpeg'}",Photography,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/c/7/b/c/highres_312651132.jpeg', 'photo_id': 312651132, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/c/7/b/c/600_312651132.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/c/7/b/c/thumb_312651132.jpeg'}",photography,Photography,"{'urlkey': 'photo', 'name': 'Photography', 'id': 223}"
[31],"{'highres_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/f/highres_431404927.jpeg', 'photo_id': 431404927, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/f/600_431404927.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/1/3/3/f/thumb_431404927.jpeg'}",Social,"{'highres_link': 'https://secure.meetupstatic.com/photos/event/c/7/c/6/highres_312651142.jpeg', 'photo_id': 312651142, 'base_url': 'https://secure.meetupstatic.com', 'type': 'event', 'photo_link': 'https://secure.meetupstatic.com/photos/event/c/7/c/6/600_312651142.jpeg', 'thumb_link': 'https://secure.meetupstatic.com/photos/event/c/7/c/6/thumb_312651142.jpeg'}",social,Social,"{'urlkey': 'social', 'name': 'Social', 'id': 10581}"
